Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD)
Lakeside Inn,New York,NY,JFK,40.9,LGA,20.5,EWR,25.9,250.66
Harbor View Hotel,New York,NY,JFK,21.5,LGA,9.1,EWR,9.4,220.43
Sunset Inn,Chicago,IL,ORD,23.0,MDW,24.8,RFD,47.8,192.74
Ocean View Hotel,Washington,DC,DCA,43.2,IAD,9.2,BWI,31.3,247.09
Harbor View Hotel,Washington,DC,DCA,22.8,IAD,47.9,BWI,7.0,218.88
Mountain Peak Lodge,Phoenix,AZ,PHX,26.8,AZA,3.3,SDL,29.1,236.82
Grand Plaza,St. Louis,MO,STL,4.9,CPS,46.2,BLV,14.3,234.89
Capitol Stay,St. Louis,MO,STL,33.7,CPS,27.0,BLV,43.4,196.36
Grand Plaza,New York,NY,JFK,45.2,LGA,45.1,EWR,30.6,290.19
Urban Retreat,St. Louis,MO,STL,13.4,CPS,34.6,BLV,32.4,202.65
Riverfront Hotel,New York,NY,JFK,30.6,LGA,39.0,EWR,21.5,255.05
Metro Inn,St. Louis,MO,STL,40.7,CPS,4.7,BLV,24.0,278.42
Pine Tree Inn,San Francisco,CA,SFO,23.2,OAK,6.2,SJC,36.5,173.05
Coastal Breeze Hotel,San Francisco,CA,SFO,34.4,OAK,10.0,SJC,38.2,171.07
Sunset Inn,Washington,DC,DCA,24.0,IAD,4.6,BWI,10.4,194.1
Maple Leaf Lodge,Phoenix,AZ,PHX,24.4,AZA,42.0,SDL,16.1,271.62
Lakeside Inn,San Francisco,CA,SFO,7.7,OAK,22.0,SJC,12.1,143.62
Grand Plaza,Washington,DC,DCA,19.8,IAD,20.3,BWI,44.0,211.95
Sapphire Hotel,San Francisco,CA,SFO,33.6,OAK,11.1,SJC,24.1,118.09
Ocean View Hotel,New York,NY,JFK,48.1,LGA,20.8,EWR,24.3,163.39
Grand Plaza,Chicago,IL,ORD,5.6,MDW,1.6,RFD,17.6,132.02
Riverfront Hotel,San Francisco,CA,SFO,27.2,OAK,32.6,SJC,22.3,166.62
Broadway Hotel,New York,NY,JFK,5.1,LGA,6.7,EWR,33.1,211.75
Urban Retreat,Chicago,IL,ORD,44.3,MDW,8.1,RFD,34.7,260.54
Harbor View Hotel,Washington,DC,DCA,7.6,IAD,31.7,BWI,1.5,102.67
Metro Inn,Seattle,WA,SEA,16.3,PAE,30.4,BFI,21.0,263.87
Garden Court Hotel,Washington,DC,DCA,36.9,IAD,26.2,BWI,9.0,259.43
Harbor View Hotel,Washington,DC,DCA,12.9,IAD,12.7,BWI,19.6,174.65
Skyline Suites,Chicago,IL,ORD,40.1,MDW,47.6,RFD,38.4,211.6
Coastal Breeze Hotel,Washington,DC,DCA,42.9,IAD,39.1,BWI,37.9,104.12
Desert Resort,Phoenix,AZ,PHX,43.6,AZA,26.3,SDL,16.0,261.64
Pine Tree Inn,Seattle,WA,SEA,25.1,PAE,8.8,BFI,46.7,221.06
Pine Tree Inn,Phoenix,AZ,PHX,6.6,AZA,35.5,SDL,20.1,150.71
Garden Court Hotel,Phoenix,AZ,PHX,35.8,AZA,37.8,SDL,30.6,106.53
Lakeside Inn,Phoenix,AZ,PHX,2.4,AZA,39.0,SDL,48.3,113.33
Sunset Inn,Los Angeles,CA,LAX,19.5,BUR,39.5,LGB,27.8,164.07
Sapphire Hotel,St. Louis,MO,STL,21.2,CPS,40.2,BLV,27.6,170.56
Harbor View Hotel,Phoenix,AZ,PHX,10.8,AZA,25.2,SDL,38.9,144.18
Broadway Hotel,St. Louis,MO,STL,36.6,CPS,49.4,BLV,34.7,291.85
City Center Lodge,Phoenix,AZ,PHX,9.2,AZA,12.5,SDL,4.4,121.35
Emerald Isle Hotel,New York,NY,JFK,40.7,LGA,47.7,EWR,18.7,199.42
Central Park Inn,Washington,DC,DCA,9.5,IAD,47.4,BWI,36.6,126.43
Maple Leaf Lodge,Seattle,WA,SEA,40.5,PAE,15.4,BFI,33.1,137.76
Golden Gate Hotel,New York,NY,JFK,10.7,LGA,2.1,EWR,47.8,214.06
Ocean View Hotel,San Francisco,CA,SFO,41.8,OAK,24.0,SJC,1.8,170.41
City Center Lodge,Phoenix,AZ,PHX,35.8,AZA,5.4,SDL,4.2,148.49
Crystal Waters Hotel,New York,NY,JFK,13.8,LGA,5.2,EWR,42.8,275.34
Sapphire Hotel,Seattle,WA,SEA,42.1,PAE,3.8,BFI,36.4,179.03
Maple Leaf Lodge,Atlanta,GA,ATL,28.1,PBI,4.2,BHM,18.6,181.44
City Center Lodge,Washington,DC,DCA,1.2,IAD,17.9,BWI,28.5,209.28
Emerald Isle Hotel,Miami,FL,MIA,43.5,FLL,8.9,PBI,19.2,219.96
Emerald Isle Hotel,Miami,FL,MIA,43.2,FLL,1.9,PBI,24.0,231.38
Riverfront Hotel,Chicago,IL,ORD,18.6,MDW,6.8,RFD,25.2,213.86
Broadway Hotel,New York,NY,JFK,13.4,LGA,37.9,EWR,30.2,236.25
Garden Court Hotel,San Francisco,CA,SFO,37.2,OAK,48.6,SJC,22.9,163.44
Metro Inn,San Francisco,CA,SFO,47.0,OAK,27.2,SJC,43.6,231.53
Crystal Waters Hotel,New York,NY,JFK,29.9,LGA,45.7,EWR,8.5,281.71
Emerald Isle Hotel,Chicago,IL,ORD,44.6,MDW,23.9,RFD,27.0,260.7
Bay Area Hotel,San Francisco,CA,SFO,16.4,OAK,36.3,SJC,28.9,273.6
Sunset Inn,Seattle,WA,SEA,47.7,PAE,3.2,BFI,13.2,227.46
Ocean View Hotel,San Francisco,CA,SFO,32.1,OAK,49.9,SJC,40.4,136.38
Bay Area Hotel,Chicago,IL,ORD,7.4,MDW,33.3,RFD,40.0,194.48
Central Park Inn,Atlanta,GA,ATL,20.5,PBI,17.4,BHM,40.1,222.27
Golden Gate Hotel,Phoenix,AZ,PHX,42.7,AZA,48.4,SDL,10.7,136.61
Skyline Suites,Phoenix,AZ,PHX,13.7,AZA,31.7,SDL,44.6,250.7
Garden Court Hotel,Atlanta,GA,ATL,27.1,PBI,5.4,BHM,2.5,200.18
Metro Inn,Phoenix,AZ,PHX,9.4,AZA,9.0,SDL,31.6,158.25
Palm Grove Hotel,Washington,DC,DCA,27.1,IAD,39.4,BWI,2.6,100.72
Mountain Peak Lodge,Seattle,WA,SEA,45.9,PAE,45.5,BFI,3.7,249.69
Riverfront Hotel,Chicago,IL,ORD,47.0,MDW,25.8,RFD,38.9,126.89
Urban Retreat,Washington,DC,DCA,47.7,IAD,8.8,BWI,5.6,222.42
Broadway Hotel,Los Angeles,CA,LAX,3.4,BUR,33.6,LGB,32.3,179.24
Pine Tree Inn,Atlanta,GA,ATL,43.4,PBI,19.3,BHM,17.5,291.86
Pine Tree Inn,Phoenix,AZ,PHX,43.0,AZA,37.0,SDL,47.1,130.73
Pine Tree Inn,St. Louis,MO,STL,35.8,CPS,29.4,BLV,6.6,178.43
Harbor View Hotel,Phoenix,AZ,PHX,47.8,AZA,26.5,SDL,21.9,145.04
Skyline Suites,San Francisco,CA,SFO,18.3,OAK,8.5,SJC,35.8,270.94
Desert Resort,Seattle,WA,SEA,20.8,PAE,22.1,BFI,5.1,127.21
Ocean View Hotel,Atlanta,GA,ATL,2.9,PBI,3.2,BHM,3.6,157.02
Bay Area Hotel,Miami,FL,MIA,27.7,FLL,3.5,PBI,42.1,128.56
Sunset Inn,Washington,DC,DCA,18.1,IAD,15.6,BWI,15.8,137.48
Coastal Breeze Hotel,St. Louis,MO,STL,32.3,CPS,11.8,BLV,18.0,188.81
Skyline Suites,Chicago,IL,ORD,24.7,MDW,47.2,RFD,17.6,222.03
Metro Inn,Los Angeles,CA,LAX,42.1,BUR,20.3,LGB,9.6,185.96
Riverfront Hotel,Washington,DC,DCA,13.2,IAD,1.0,BWI,5.1,155.03
Ocean View Hotel,Phoenix,AZ,PHX,10.9,AZA,28.8,SDL,44.2,192.63
Bay Area Hotel,Chicago,IL,ORD,23.7,MDW,46.9,RFD,20.4,280.35
Crystal Waters Hotel,Miami,FL,MIA,27.2,FLL,25.8,PBI,38.7,109.05
Emerald Isle Hotel,Washington,DC,DCA,5.2,IAD,49.7,BWI,11.7,167.25
Broadway Hotel,St. Louis,MO,STL,6.7,CPS,24.2,BLV,31.4,267.64
Coastal Breeze Hotel,Phoenix,AZ,PHX,15.6,AZA,32.0,SDL,10.9,257.52
Harbor View Hotel,Seattle,WA,SEA,29.9,PAE,18.1,BFI,35.4,116.39
Emerald Isle Hotel,Chicago,IL,ORD,35.3,MDW,8.5,RFD,11.0,200.17
Capitol Stay,Seattle,WA,SEA,5.8,PAE,19.9,BFI,37.1,205.72
Maple Leaf Lodge,Phoenix,AZ,PHX,38.3,AZA,12.3,SDL,12.3,105.18
